snum,wins,victories,rounds
#469,26,5,"['#879', '#469', '#879', '#879', '#469', '#469', '#469', '#544', '#469', '#544', '#469', '#469', '#239', '#239', '#239', '#757', '#757', '#757', '#757', '#757', '#960', '#469', '#469', '#469', '#960', '#889', '#469', '#889', '#469', '#469', '#381', '#381', '#381', '#381', '#381', '#469', '#469', '#469', '#469', '#562', '#209', '#469', '#469', '#469', '#209', '#661', '#469', '#469', '#661', '#661', '#469', '#469', '#856', '#856', '#856', '#469', '#469', '#896', '#896', '#896']"
#114,34,8,"['#878', '#878', '#878', '#114', '#878', '#114', '#114', '#617', '#114', '#114', '#114', '#114', '#124', '#114', '#124', '#114', '#301', '#114', '#301', '#114', '#114', '#864', '#114', '#864', '#114', '#114', '#114', '#114', '#114', '#114', '#605', '#114', '#114', '#114', '#114', '#114', '#114', '#114', '#114', '#114', '#114', '#114', '#114', '#409', '#114', '#520', '#114', '#520', '#520', '#114']"
#878,30,8,"['#878', '#878', '#878', '#114', '#878', '#878', '#878', '#878', '#90', '#90', '#878', '#878', '#479', '#878', '#878', '#573', '#878', '#878', '#573', '#878', '#878', '#684', '#684', '#878', '#878', '#878', '#826', '#878', '#878', '#878', '#878', '#878', '#878', '#878', '#878', '#878', '#27', '#878', '#878', '#878']"
#90,28,5,"['#878', '#878', '#878', '#90', '#90', '#90', '#90', '#569', '#90', '#90', '#90', '#90', '#90', '#589', '#589', '#414', '#90', '#90', '#90', '#414', '#90', '#90', '#90', '#333', '#90', '#385', '#90', '#90', '#90', '#90', '#90', '#420', '#90', '#420', '#420', '#90', '#256', '#256', '#256', '#90', '#732', '#90', '#732', '#90', '#732', '#329', '#90', '#90', '#329', '#329']"
#375,34,5,"['#756', '#756', '#756', '#756', '#756', '#261', '#375', '#261', '#375', '#261', '#375', '#585', '#585', '#375', '#585', '#930', '#375', '#930', '#930', '#375', '#994', '#994', '#994', '#375', '#375', '#284', '#284', '#284', '#284', '#375', '#150', '#375', '#150', '#150', '#375', '#309', '#375', '#375', '#309', '#309', '#375', '#174', '#375', '#375', '#174', '#953', '#953', '#953', '#375', '#375', '#375', '#375', '#375', '#375', '#238', '#384', '#384', '#384', '#384', '#384', '#643', '#643', '#643', '#375', '#643', '#375', '#375', '#375', '#375', '#276', '#375', '#777', '#375', '#375', '#777', '#375', '#375', '#375', '#649', '#649', '#375', '#943', '#943', '#943', '#943']"
#756,40,10,"['#756', '#756', '#756', '#756', '#756', '#883', '#756', '#756', '#883', '#756', '#756', '#71', '#71', '#71', '#71', '#644', '#756', '#644', '#644', '#644', '#706', '#756', '#756', '#756', '#706', '#756', '#756', '#756', '#930', '#930', '#706', '#706', '#706', '#756', '#756', '#651', '#756', '#756', '#756', '#651', '#756', '#110', '#756', '#756', '#756', '#756', '#733', '#756', '#733', '#756', '#528', '#756', '#756', '#756', '#528', '#756', '#756', '#756', '#756', '#370', '#756', '#352', '#756', '#756', '#756', '#835', '#835', '#835', '#835', '#756']"
#800,22,3,"['#632', '#632', '#632', '#632', '#800', '#966', '#966', '#966', '#800', '#966', '#373', '#373', '#800', '#373', '#800', '#653', '#653', '#653', '#800', '#800', '#379', '#379', '#379', '#379', '#379', '#800', '#532', '#800', '#532', '#532', '#679', '#800', '#800', '#679', '#800', '#538', '#800', '#538', '#538', '#538', '#313', '#800', '#313', '#800', '#800', '#800', '#677', '#677', '#677', '#677', '#800', '#439', '#439', '#800', '#439', '#800', '#867', '#800', '#800', '#800']"
#632,37,8,"['#632', '#632', '#632', '#632', '#800', '#632', '#632', '#632', '#632', '#587', '#569', '#632', '#632', '#569', '#632', '#632', '#922', '#632', '#632', '#922', '#632', '#632', '#632', '#632', '#675', '#632', '#290', '#632', '#632', '#632', '#632', '#632', '#573', '#573', '#573', '#632', '#632', '#149', '#632', '#632', '#632', '#197', '#197', '#632', '#197', '#632', '#632', '#629', '#632', '#629', '#401', '#401', '#632', '#632', '#401', '#468', '#632', '#468', '#632', '#468']"
#145,25,5,"['#145', '#145', '#145', '#145', '#145', '#762', '#762', '#762', '#145', '#145', '#145', '#145', '#658', '#145', '#658', '#145', '#145', '#437', '#437', '#437', '#24', '#24', '#24', '#145', '#24', '#781', '#145', '#145', '#145', '#781', '#145', '#406', '#145', '#145', '#406', '#124', '#145', '#124', '#145', '#124', '#145', '#145', '#563', '#145', '#145']"
#245,33,8,"['#145', '#145', '#145', '#145', '#145', '#566', '#245', '#245', '#245', '#566', '#53', '#53', '#245', '#245', '#53', '#245', '#551', '#245', '#245', '#245', '#245', '#258', '#245', '#245', '#258', '#331', '#245', '#245', '#245', '#245', '#457', '#245', '#245', '#457', '#245', '#625', '#245', '#625', '#245', '#625', '#292', '#245', '#292', '#292', '#292', '#245', '#245', '#970', '#245', '#245', '#245', '#245', '#665', '#665', '#245', '#151', '#245', '#151', '#151', '#151', '#245', '#245', '#245', '#754', '#754']"
