snum,wins,victories,rounds
#157,18,2,"['#876', '#876', '#157', '#157', '#876', '#157', '#456', '#157', '#157', '#157', '#157', '#810', '#157', '#810', '#810', '#825', '#157', '#825', '#825', '#825', '#98', '#98', '#157', '#98', '#157', '#423', '#157', '#423', '#423', '#423', '#249', '#157', '#157', '#157', '#157', '#157', '#157', '#404', '#404', '#404']"
#118,24,4,"['#118', '#442', '#442', '#118', '#118', '#118', '#112', '#112', '#118', '#118', '#12', '#12', '#118', '#118', '#12', '#866', '#866', '#866', '#118', '#118', '#287', '#287', '#118', '#118', '#287', '#777', '#777', '#118', '#118', '#118', '#858', '#858', '#118', '#118', '#118', '#118', '#118', '#743', '#743', '#743', '#118', '#118', '#132', '#132', '#132', '#523', '#523', '#523', '#523', '#523', '#161', '#161', '#118', '#161', '#118']"
#644,13,1,"['#644', '#756', '#644', '#644', '#644', '#99', '#644', '#99', '#644', '#99', '#753', '#644', '#644', '#753', '#753', '#652', '#652', '#644', '#644', '#652', '#987', '#644', '#987', '#987', '#644', '#449', '#449', '#449', '#644', '#449']"
#772,17,1,"['#449', '#449', '#449', '#449', '#449', '#392', '#392', '#772', '#392', '#772', '#772', '#772', '#772', '#598', '#772', '#772', '#999', '#772', '#999', '#999', '#210', '#210', '#772', '#210', '#210', '#262', '#772', '#262', '#262', '#262', '#772', '#684', '#684', '#772', '#684', '#350', '#350', '#772', '#772', '#350', '#772', '#906', '#906', '#906', '#906', '#940', '#772', '#940', '#772', '#940']"
#902,39,9,"['#902', '#902', '#902', '#902', '#243', '#259', '#902', '#902', '#902', '#902', '#509', '#902', '#902', '#509', '#509', '#766', '#902', '#902', '#902', '#766', '#902', '#902', '#902', '#817', '#817', '#902', '#327', '#902', '#327', '#327', '#902', '#780', '#780', '#902', '#902', '#837', '#902', '#902', '#837', '#837', '#20', '#902', '#902', '#20', '#902', '#902', '#902', '#902', '#902', '#661', '#230', '#902', '#230', '#230', '#902', '#902', '#902', '#902', '#902', '#115', '#902', '#902', '#902', '#559', '#559']"
#228,28,7,"['#228', '#532', '#532', '#532', '#532', '#228', '#415', '#228', '#415', '#228', '#228', '#803', '#228', '#228', '#803', '#185', '#228', '#185', '#228', '#228', '#228', '#228', '#228', '#312', '#228', '#608', '#608', '#228', '#608', '#608', '#228', '#724', '#724', '#228', '#228', '#228', '#594', '#594', '#228', '#228', '#65', '#228', '#228', '#228', '#228', '#760', '#228', '#760', '#760', '#760', '#589', '#589', '#589', '#228', '#228']"
#139,22,4,"['#203', '#203', '#203', '#139', '#139', '#171', '#139', '#139', '#139', '#171', '#139', '#485', '#485', '#485', '#485', '#139', '#139', '#741', '#741', '#741', '#139', '#498', '#139', '#139', '#498', '#129', '#129', '#139', '#139', '#129', '#139', '#116', '#139', '#139', '#139', '#359', '#359', '#359', '#139', '#139', '#139', '#918', '#139', '#918', '#139']"
#203,15,4,"['#203', '#203', '#203', '#139', '#139', '#203', '#40', '#203', '#40', '#203', '#984', '#203', '#203', '#984', '#984', '#203', '#493', '#203', '#493', '#203', '#980', '#980', '#980', '#980', '#203', '#599', '#203', '#203', '#203', '#599']"
#199,19,3,"['#803', '#803', '#199', '#803', '#199', '#966', '#199', '#199', '#199', '#966', '#199', '#695', '#199', '#199', '#199', '#105', '#199', '#105', '#105', '#199', '#735', '#199', '#735', '#735', '#199', '#199', '#421', '#199', '#421', '#199', '#94', '#199', '#94', '#94', '#199', '#199', '#923', '#923', '#923', '#923', '#786', '#786', '#786', '#786', '#786']"
#885,17,3,"['#885', '#885', '#885', '#253', '#885', '#885', '#171', '#885', '#885', '#171', '#165', '#885', '#165', '#165', '#885', '#801', '#885', '#801', '#885', '#801', '#383', '#383', '#383', '#383', '#383', '#129', '#129', '#885', '#129', '#129', '#885', '#885', '#187', '#187', '#885', '#885', '#948', '#948', '#948', '#948', '#885', '#178', '#178', '#178', '#178']"
#253,26,5,"['#885', '#885', '#885', '#253', '#885', '#305', '#305', '#253', '#253', '#305', '#736', '#736', '#736', '#253', '#736', '#253', '#253', '#288', '#253', '#253', '#253', '#999', '#999', '#999', '#999', '#253', '#253', '#862', '#253', '#253', '#253', '#183', '#253', '#253', '#183', '#483', '#483', '#483', '#253', '#483', '#253', '#253', '#889', '#253', '#889', '#253', '#253', '#965', '#253', '#253', '#587', '#587', '#587', '#253', '#253']"
#88,18,3,"['#88', '#947', '#88', '#947', '#88', '#88', '#88', '#404', '#88', '#404', '#88', '#689', '#689', '#689', '#88', '#315', '#315', '#315', '#315', '#315', '#582', '#88', '#582', '#88', '#582', '#88', '#356', '#88', '#356', '#356', '#518', '#88', '#518', '#518', '#518', '#88', '#88', '#88', '#88', '#88']"
#194,41,10,"['#194', '#194', '#194', '#194', '#194', '#734', '#194', '#734', '#734', '#194', '#194', '#368', '#194', '#194', '#194', '#194', '#194', '#194', '#849', '#194', '#194', '#957', '#957', '#194', '#194', '#542', '#542', '#542', '#542', '#194', '#194', '#194', '#658', '#658', '#194', '#194', '#194', '#194', '#532', '#194', '#141', '#194', '#194', '#141', '#194', '#194', '#183', '#183', '#194', '#194', '#536', '#194', '#194', '#536', '#194', '#194', '#194', '#370', '#194', '#194', '#820', '#820', '#194', '#820', '#194']"
#870,48,10,"['#870', '#282', '#870', '#870', '#282', '#870', '#870', '#870', '#813', '#813', '#706', '#706', '#870', '#706', '#870', '#338', '#870', '#870', '#870', '#870', '#870', '#870', '#870', '#870', '#870', '#96', '#870', '#870', '#870', '#870', '#870', '#206', '#870', '#206', '#870', '#870', '#870', '#870', '#120', '#870', '#372', '#870', '#870', '#372', '#870', '#870', '#870', '#870', '#870', '#657', '#928', '#928', '#870', '#870', '#928', '#874', '#870', '#870', '#874', '#874', '#870', '#870', '#689', '#689', '#689', '#870', '#870', '#870', '#870', '#614', '#870', '#815', '#815', '#815', '#815', '#275', '#870', '#870', '#275', '#275']"
#787,28,6,"['#427', '#427', '#787', '#787', '#787', '#279', '#787', '#787', '#279', '#787', '#787', '#85', '#85', '#85', '#787', '#787', '#327', '#327', '#327', '#787', '#927', '#927', '#787', '#927', '#787', '#73', '#73', '#787', '#787', '#787', '#186', '#186', '#186', '#787', '#787', '#787', '#907', '#907', '#787', '#787', '#920', '#920', '#787', '#920', '#787', '#130', '#787', '#787', '#130', '#787', '#302', '#302', '#787', '#787', '#787']"
#997,32,8,"['#997', '#997', '#997', '#997', '#997', '#997', '#997', '#997', '#997', '#276', '#997', '#747', '#747', '#747', '#997', '#997', '#178', '#997', '#997', '#178', '#321', '#997', '#997', '#321', '#997', '#212', '#212', '#212', '#212', '#997', '#997', '#87', '#997', '#997', '#997', '#997', '#997', '#771', '#997', '#997', '#997', '#131', '#997', '#131', '#997', '#989', '#997', '#989', '#997', '#997']"
#162,34,8,"['#997', '#997', '#997', '#997', '#997', '#162', '#162', '#162', '#487', '#487', '#162', '#162', '#162', '#854', '#162', '#162', '#205', '#205', '#205', '#162', '#162', '#162', '#162', '#162', '#162', '#162', '#162', '#532', '#532', '#162', '#162', '#162', '#162', '#162', '#162', '#162', '#456', '#456', '#162', '#162', '#162', '#781', '#781', '#162', '#162', '#872', '#162', '#872', '#162', '#162', '#640', '#640', '#640', '#162', '#640', '#866', '#866', '#162', '#866', '#162']"
#468,20,5,"['#795', '#468', '#468', '#468', '#795', '#468', '#468', '#468', '#319', '#319', '#455', '#455', '#468', '#468', '#468', '#93', '#93', '#468', '#468', '#93', '#468', '#468', '#468', '#468', '#452', '#468', '#453', '#468', '#453', '#453', '#468', '#632', '#468', '#632', '#468']"
#715,22,2,"['#239', '#239', '#239', '#715', '#715', '#448', '#448', '#715', '#448', '#715', '#102', '#102', '#102', '#102', '#102', '#715', '#715', '#715', '#942', '#715', '#715', '#529', '#529', '#715', '#529', '#178', '#178', '#715', '#715', '#178', '#10', '#10', '#10', '#715', '#715', '#241', '#715', '#715', '#241', '#241', '#531', '#531', '#715', '#531', '#531', '#223', '#715', '#223', '#715', '#715', '#415', '#715', '#415', '#715', '#415']"
#239,26,6,"['#239', '#239', '#239', '#715', '#715', '#469', '#469', '#239', '#239', '#239', '#553', '#553', '#553', '#239', '#553', '#960', '#960', '#239', '#239', '#960', '#229', '#229', '#229', '#229', '#229', '#390', '#239', '#390', '#239', '#239', '#239', '#239', '#665', '#239', '#239', '#722', '#722', '#239', '#722', '#239', '#239', '#239', '#239', '#603', '#603', '#358', '#358', '#239', '#239', '#358', '#239', '#239', '#562', '#562', '#239']"
#544,35,7,"['#469', '#469', '#544', '#469', '#544', '#544', '#544', '#669', '#544', '#669', '#770', '#770', '#770', '#770', '#544', '#380', '#380', '#544', '#544', '#544', '#544', '#544', '#461', '#544', '#544', '#565', '#565', '#544', '#565', '#565', '#522', '#522', '#522', '#544', '#522', '#531', '#544', '#544', '#531', '#531', '#544', '#544', '#544', '#544', '#544', '#544', '#62', '#62', '#544', '#62', '#544', '#360', '#544', '#360', '#544', '#544', '#544', '#558', '#544', '#544', '#544', '#617', '#544', '#544', '#544']"
#69,29,6,"['#69', '#69', '#205', '#205', '#69', '#69', '#69', '#770', '#770', '#69', '#69', '#420', '#420', '#69', '#69', '#69', '#185', '#69', '#185', '#69', '#23', '#23', '#23', '#23', '#23', '#829', '#829', '#69', '#829', '#829', '#192', '#192', '#69', '#192', '#69', '#69', '#411', '#411', '#411', '#411', '#69', '#799', '#799', '#69', '#69', '#568', '#568', '#568', '#69', '#69', '#771', '#69', '#771', '#771', '#69', '#342', '#69', '#69', '#342', '#69', '#69', '#455', '#455', '#455', '#455', '#844', '#844', '#844', '#69', '#69']"
#197,33,7,"['#871', '#197', '#197', '#197', '#197', '#197', '#197', '#311', '#197', '#311', '#197', '#724', '#724', '#197', '#724', '#197', '#197', '#352', '#352', '#352', '#197', '#197', '#197', '#197', '#259', '#267', '#267', '#267', '#267', '#267', '#632', '#197', '#197', '#632', '#197', '#197', '#882', '#197', '#197', '#882', '#340', '#197', '#197', '#340', '#197', '#197', '#197', '#197', '#666', '#666', '#182', '#197', '#197', '#182', '#182', '#458', '#458', '#458', '#197', '#197', '#542', '#197', '#542', '#542', '#197']"
#272,22,3,"['#581', '#272', '#272', '#581', '#581', '#752', '#272', '#272', '#752', '#272', '#272', '#285', '#285', '#285', '#272', '#272', '#563', '#272', '#272', '#272', '#272', '#299', '#299', '#272', '#299', '#850', '#850', '#850', '#850', '#850', '#673', '#272', '#673', '#673', '#272', '#779', '#272', '#272', '#779', '#779', '#215', '#272', '#272', '#215', '#215', '#272', '#272', '#880', '#272', '#880']"
#572,29,7,"['#572', '#572', '#572', '#572', '#572', '#572', '#572', '#572', '#572', '#572', '#48', '#572', '#48', '#48', '#572', '#129', '#572', '#572', '#572', '#129', '#572', '#580', '#572', '#572', '#572', '#716', '#716', '#716', '#716', '#716', '#966', '#966', '#966', '#966', '#966', '#572', '#111', '#572', '#572', '#111', '#572', '#572', '#572', '#873', '#572', '#572', '#572', '#572', '#622', '#622']"
#355,16,1,"['#519', '#519', '#519', '#355', '#355', '#297', '#297', '#355', '#355', '#297', '#355', '#349', '#349', '#355', '#349', '#732', '#732', '#355', '#355', '#355', '#355', '#698', '#698', '#698', '#355', '#355', '#319', '#319', '#319', '#319', '#355', '#713', '#713', '#355', '#713', '#170', '#170', '#170', '#355', '#355']"
#439,21,5,"['#419', '#419', '#419', '#439', '#439', '#347', '#439', '#347', '#439', '#347', '#439', '#439', '#439', '#184', '#184', '#439', '#439', '#827', '#439', '#827', '#439', '#866', '#866', '#439', '#866', '#314', '#439', '#439', '#314', '#439', '#800', '#439', '#439', '#800', '#439', '#439', '#178', '#439', '#178', '#439']"
#448,22,6,"['#448', '#448', '#715', '#448', '#715', '#448', '#448', '#281', '#448', '#281', '#448', '#448', '#448', '#14', '#14', '#471', '#448', '#471', '#448', '#448', '#134', '#134', '#448', '#448', '#134', '#448', '#774', '#774', '#774', '#774', '#448', '#448', '#941', '#448', '#448', '#567', '#448', '#567', '#448', '#448']"
#573,30,7,"['#573', '#734', '#573', '#734', '#573', '#573', '#878', '#878', '#573', '#878', '#573', '#573', '#573', '#657', '#657', '#597', '#597', '#597', '#597', '#597', '#573', '#573', '#573', '#884', '#573', '#632', '#632', '#573', '#573', '#573', '#701', '#573', '#701', '#573', '#701', '#13', '#573', '#573', '#13', '#13', '#827', '#573', '#573', '#573', '#827', '#573', '#211', '#573', '#573', '#211', '#573', '#484', '#573', '#484', '#573', '#573', '#187', '#573', '#187', '#187']"
#912,72,17,"['#912', '#912', '#912', '#15', '#15', '#912', '#912', '#912', '#912', '#927', '#912', '#912', '#85', '#912', '#912', '#912', '#600', '#912', '#912', '#912', '#912', '#912', '#912', '#238', '#912', '#912', '#912', '#912', '#912', '#912', '#769', '#769', '#769', '#769', '#912', '#912', '#717', '#912', '#912', '#912', '#912', '#912', '#912', '#342', '#342', '#912', '#56', '#912', '#912', '#56', '#912', '#912', '#912', '#745', '#745', '#912', '#912', '#912', '#163', '#163', '#912', '#912', '#912', '#912', '#912', '#912', '#912', '#912', '#912', '#912', '#721', '#721', '#721', '#721', '#912', '#912', '#912', '#912', '#912', '#912', '#912', '#912', '#912', '#912', '#912', '#349', '#912', '#349', '#912', '#349', '#912', '#912', '#300', '#912', '#912', '#912', '#912', '#912', '#912', '#499']"
#15,30,5,"['#912', '#912', '#912', '#15', '#15', '#980', '#980', '#980', '#15', '#980', '#15', '#15', '#732', '#15', '#732', '#521', '#521', '#521', '#15', '#521', '#15', '#15', '#15', '#280', '#280', '#41', '#41', '#41', '#15', '#15', '#12', '#15', '#12', '#15', '#15', '#28', '#28', '#28', '#15', '#28', '#196', '#196', '#15', '#15', '#196', '#996', '#996', '#996', '#996', '#15', '#15', '#15', '#14', '#15', '#15', '#202', '#202', '#202', '#15', '#202', '#577', '#577', '#15', '#577', '#15', '#436', '#15', '#15', '#15', '#436', '#15', '#879', '#879', '#879', '#879', '#512', '#512', '#512', '#512', '#512']"
#697,24,3,"['#697', '#697', '#697', '#697', '#240', '#697', '#612', '#612', '#697', '#612', '#697', '#805', '#697', '#805', '#805', '#829', '#829', '#829', '#829', '#829', '#62', '#62', '#62', '#697', '#62', '#866', '#866', '#866', '#866', '#866', '#697', '#903', '#697', '#697', '#903', '#884', '#697', '#697', '#884', '#884', '#697', '#70', '#70', '#70', '#70', '#697', '#844', '#844', '#697', '#697', '#938', '#938', '#938', '#697', '#697', '#811', '#811', '#811', '#811', '#811', '#402', '#402', '#402', '#697', '#402', '#510', '#697', '#510', '#510', '#510', '#809', '#697', '#809', '#697', '#809']"
#240,24,4,"['#697', '#697', '#697', '#697', '#240', '#610', '#240', '#240', '#240', '#610', '#240', '#240', '#240', '#288', '#288', '#240', '#240', '#240', '#779', '#240', '#970', '#970', '#970', '#970', '#240', '#264', '#240', '#240', '#264', '#264', '#240', '#13', '#13', '#240', '#13', '#59', '#59', '#59', '#240', '#240', '#38', '#240', '#38', '#240', '#38', '#624', '#624', '#624', '#624', '#624', '#840', '#840', '#840', '#840', '#240', '#240', '#240', '#749', '#240', '#749']"
#290,19,2,"['#588', '#588', '#290', '#588', '#588', '#290', '#526', '#290', '#290', '#290', '#721', '#721', '#290', '#290', '#721', '#381', '#381', '#290', '#381', '#290', '#632', '#290', '#632', '#632', '#632', '#290', '#788', '#788', '#290', '#788', '#428', '#290', '#290', '#428', '#290', '#809', '#809', '#290', '#809', '#290', '#716', '#290', '#716', '#290', '#716']"
#833,24,4,"['#833', '#833', '#385', '#833', '#833', '#413', '#833', '#413', '#833', '#413', '#134', '#833', '#134', '#833', '#134', '#833', '#951', '#951', '#951', '#951', '#833', '#833', '#833', '#833', '#833', '#833', '#833', '#833', '#833', '#833', '#16', '#16', '#16', '#833', '#16', '#833', '#833', '#108', '#833', '#108', '#786', '#786', '#786', '#833', '#786']"
#385,31,4,"['#833', '#833', '#385', '#833', '#833', '#541', '#541', '#385', '#385', '#541', '#332', '#385', '#385', '#332', '#332', '#164', '#164', '#164', '#385', '#385', '#385', '#385', '#385', '#385', '#586', '#181', '#181', '#385', '#385', '#181', '#385', '#385', '#14', '#14', '#385', '#138', '#138', '#385', '#385', '#138', '#768', '#768', '#385', '#385', '#768', '#385', '#90', '#90', '#90', '#90', '#385', '#931', '#931', '#931', '#931', '#412', '#385', '#412', '#385', '#412', '#385', '#238', '#385', '#238', '#385', '#478', '#385', '#478', '#385', '#385', '#626', '#385', '#626', '#626', '#626']"
#324,21,4,"['#324', '#851', '#851', '#851', '#851', '#324', '#324', '#324', '#209', '#209', '#169', '#169', '#169', '#324', '#324', '#324', '#42', '#324', '#42', '#42', '#324', '#120', '#120', '#120', '#324', '#735', '#324', '#324', '#324', '#735', '#324', '#324', '#324', '#529', '#324', '#830', '#324', '#324', '#830', '#324', '#337', '#324', '#337', '#337', '#337']"
#763,28,6,"['#794', '#763', '#794', '#763', '#794', '#763', '#763', '#763', '#12', '#12', '#276', '#763', '#276', '#276', '#763', '#763', '#941', '#941', '#763', '#763', '#763', '#919', '#919', '#763', '#763', '#741', '#763', '#741', '#741', '#741', '#172', '#763', '#172', '#763', '#172', '#757', '#763', '#763', '#763', '#763', '#292', '#763', '#292', '#763', '#763', '#763', '#904', '#904', '#904', '#763', '#59', '#59', '#763', '#763', '#763']"
#61,19,2,"['#683', '#683', '#61', '#683', '#61', '#61', '#854', '#61', '#854', '#854', '#532', '#532', '#61', '#532', '#532', '#307', '#307', '#307', '#61', '#307', '#850', '#850', '#61', '#850', '#61', '#908', '#908', '#908', '#61', '#908', '#61', '#61', '#61', '#61', '#876', '#23', '#61', '#23', '#23', '#23', '#61', '#823', '#61', '#823', '#61', '#178', '#178', '#61', '#61', '#178']"
#699,17,4,"['#151', '#699', '#151', '#151', '#151', '#699', '#946', '#699', '#699', '#699', '#699', '#699', '#699', '#134', '#134', '#699', '#699', '#637', '#699', '#637', '#987', '#699', '#987', '#987', '#699', '#699', '#979', '#699', '#699', '#699']"
#151,39,10,"['#151', '#699', '#151', '#151', '#151', '#454', '#151', '#454', '#454', '#151', '#843', '#843', '#151', '#151', '#151', '#151', '#227', '#151', '#227', '#151', '#890', '#890', '#151', '#890', '#890', '#151', '#151', '#151', '#703', '#151', '#853', '#853', '#853', '#853', '#853', '#7', '#7', '#151', '#151', '#151', '#151', '#151', '#151', '#570', '#151', '#580', '#580', '#151', '#580', '#580', '#865', '#151', '#151', '#151', '#865', '#151', '#596', '#151', '#596', '#151', '#151', '#245', '#151', '#151', '#151', '#151', '#386', '#151', '#151', '#151']"
#22,29,6,"['#22', '#22', '#3', '#3', '#22', '#22', '#22', '#22', '#22', '#22', '#628', '#22', '#628', '#628', '#628', '#22', '#22', '#785', '#22', '#22', '#22', '#356', '#22', '#22', '#356', '#22', '#22', '#22', '#22', '#22', '#22', '#22', '#22', '#22', '#711', '#444', '#444', '#444', '#22', '#444', '#75', '#22', '#75', '#75', '#75', '#22', '#22', '#420', '#420', '#420']"
#776,38,8,"['#776', '#481', '#776', '#776', '#481', '#243', '#776', '#243', '#776', '#243', '#25', '#776', '#776', '#25', '#776', '#122', '#122', '#122', '#776', '#122', '#274', '#776', '#776', '#776', '#274', '#257', '#776', '#257', '#776', '#776', '#473', '#776', '#473', '#473', '#473', '#97', '#776', '#97', '#97', '#97', '#998', '#998', '#998', '#998', '#776', '#776', '#274', '#776', '#274', '#274', '#411', '#411', '#776', '#411', '#411', '#999', '#776', '#999', '#999', '#999', '#776', '#776', '#429', '#429', '#776', '#776', '#776', '#407', '#776', '#407', '#776', '#776', '#776', '#776', '#776', '#776', '#776', '#812', '#776', '#812', '#235', '#235', '#235', '#776', '#776']"
#703,24,6,"['#172', '#703', '#703', '#172', '#703', '#703', '#331', '#703', '#331', '#703', '#703', '#705', '#705', '#703', '#705', '#767', '#767', '#767', '#703', '#767', '#703', '#703', '#703', '#365', '#365', '#151', '#151', '#151', '#703', '#151', '#703', '#768', '#703', '#703', '#768', '#703', '#742', '#703', '#703', '#742', '#778', '#778', '#778', '#778', '#778', '#135', '#703', '#703', '#703', '#703', '#442', '#442', '#703', '#442', '#442']"
#172,34,8,"['#172', '#703', '#703', '#172', '#703', '#790', '#790', '#172', '#172', '#172', '#317', '#317', '#172', '#172', '#317', '#172', '#909', '#909', '#909', '#909', '#593', '#172', '#593', '#593', '#593', '#172', '#70', '#172', '#172', '#70', '#41', '#41', '#172', '#172', '#172', '#477', '#172', '#477', '#172', '#172', '#841', '#172', '#841', '#841', '#841', '#172', '#763', '#172', '#763', '#172', '#586', '#172', '#172', '#172', '#586', '#18', '#18', '#172', '#172', '#172', '#377', '#172', '#172', '#172', '#172', '#995', '#995', '#172', '#995', '#172']"
#477,45,8,"['#94', '#94', '#477', '#477', '#477', '#477', '#477', '#477', '#477', '#259', '#477', '#254', '#477', '#254', '#254', '#867', '#477', '#477', '#867', '#867', '#477', '#477', '#477', '#477', '#367', '#477', '#477', '#477', '#477', '#477', '#946', '#477', '#477', '#946', '#946', '#477', '#496', '#477', '#477', '#477', '#495', '#495', '#477', '#477', '#495', '#495', '#495', '#477', '#477', '#477', '#477', '#172', '#477', '#172', '#172', '#477', '#477', '#477', '#477', '#410', '#216', '#216', '#477', '#477', '#477', '#839', '#839', '#839', '#477', '#477', '#318', '#318', '#477', '#318', '#318', '#477', '#634', '#634', '#634', '#477']"
#306,38,8,"['#725', '#306', '#725', '#306', '#306', '#306', '#306', '#93', '#306', '#93', '#517', '#517', '#517', '#306', '#517', '#780', '#306', '#780', '#306', '#780', '#306', '#306', '#306', '#181', '#181', '#757', '#757', '#757', '#757', '#757', '#306', '#306', '#124', '#306', '#306', '#306', '#306', '#855', '#306', '#855', '#306', '#306', '#150', '#150', '#150', '#388', '#388', '#388', '#388', '#388', '#782', '#306', '#782', '#306', '#782', '#547', '#547', '#547', '#547', '#547', '#521', '#306', '#306', '#521', '#306', '#306', '#306', '#127', '#306', '#306', '#741', '#306', '#741', '#306', '#741', '#306', '#306', '#306', '#306', '#143', '#770', '#770', '#770', '#770', '#770', '#227', '#227', '#306', '#227', '#306']"
#72,35,9,"['#780', '#72', '#780', '#72', '#72', '#263', '#263', '#263', '#72', '#263', '#828', '#72', '#828', '#828', '#72', '#72', '#705', '#72', '#705', '#72', '#72', '#72', '#72', '#328', '#72', '#920', '#920', '#72', '#72', '#72', '#499', '#499', '#72', '#499', '#499', '#775', '#775', '#775', '#72', '#72', '#72', '#731', '#72', '#72', '#72', '#72', '#72', '#557', '#72', '#557', '#72', '#757', '#757', '#72', '#72', '#72', '#598', '#598', '#72', '#72', '#72', '#623', '#72', '#72', '#623']"
#760,30,8,"['#34', '#760', '#760', '#34', '#760', '#795', '#760', '#795', '#795', '#760', '#760', '#760', '#330', '#330', '#760', '#760', '#760', '#760', '#760', '#880', '#760', '#915', '#915', '#760', '#760', '#297', '#760', '#297', '#760', '#760', '#760', '#760', '#760', '#760', '#760', '#460', '#760', '#760', '#460', '#760', '#760', '#228', '#760', '#760', '#760']"
#296,22,2,"['#296', '#440', '#440', '#296', '#296', '#296', '#998', '#296', '#998', '#296', '#308', '#308', '#296', '#296', '#308', '#271', '#271', '#271', '#296', '#296', '#296', '#298', '#298', '#298', '#296', '#780', '#296', '#780', '#780', '#780', '#547', '#547', '#296', '#547', '#547', '#296', '#339', '#339', '#339', '#296', '#296', '#137', '#137', '#296', '#137', '#514', '#514', '#296', '#514', '#514', '#296', '#782', '#782', '#782', '#296', '#85', '#85', '#85', '#85', '#296']"
#440,21,3,"['#296', '#440', '#440', '#296', '#296', '#440', '#105', '#105', '#105', '#440', '#2', '#2', '#440', '#2', '#2', '#777', '#440', '#440', '#440', '#777', '#312', '#312', '#440', '#312', '#440', '#440', '#803', '#440', '#440', '#803', '#97', '#97', '#440', '#97', '#97', '#440', '#458', '#440', '#458', '#458', '#555', '#555', '#440', '#440', '#555', '#440', '#440', '#440', '#671', '#671']"
#957,31,7,"['#882', '#957', '#957', '#957', '#882', '#957', '#957', '#546', '#957', '#546', '#321', '#321', '#957', '#321', '#321', '#957', '#957', '#957', '#957', '#957', '#957', '#957', '#957', '#957', '#957', '#194', '#957', '#957', '#194', '#194', '#957', '#957', '#957', '#957', '#957', '#957', '#116', '#116', '#116', '#116', '#84', '#957', '#957', '#84', '#957', '#957', '#957', '#957', '#948', '#948']"
#611,37,6,"['#931', '#931', '#931', '#611', '#611', '#611', '#991', '#991', '#611', '#611', '#611', '#611', '#426', '#426', '#426', '#398', '#398', '#611', '#611', '#398', '#521', '#521', '#611', '#521', '#521', '#611', '#711', '#711', '#611', '#711', '#611', '#611', '#995', '#995', '#611', '#611', '#736', '#736', '#736', '#736', '#110', '#110', '#611', '#110', '#611', '#611', '#982', '#982', '#611', '#982', '#611', '#148', '#148', '#148', '#148', '#611', '#26', '#26', '#611', '#611', '#611', '#611', '#611', '#611', '#750', '#611', '#449', '#449', '#611', '#449', '#514', '#514', '#514', '#514', '#514', '#611', '#826', '#826', '#611', '#611', '#456', '#611', '#611', '#456', '#611', '#611', '#265', '#265', '#265', '#265']"
#928,40,9,"['#837', '#928', '#837', '#837', '#928', '#485', '#928', '#928', '#928', '#928', '#928', '#928', '#928', '#27', '#928', '#402', '#928', '#402', '#402', '#928', '#928', '#928', '#341', '#341', '#341', '#340', '#340', '#340', '#340', '#928', '#928', '#928', '#870', '#870', '#928', '#928', '#928', '#928', '#928', '#516', '#928', '#928', '#928', '#621', '#928', '#928', '#928', '#928', '#215', '#215', '#928', '#928', '#928', '#982', '#928', '#928', '#928', '#333', '#333', '#928', '#928', '#928', '#928', '#177', '#928']"
#837,36,9,"['#837', '#928', '#837', '#837', '#928', '#837', '#837', '#837', '#837', '#295', '#837', '#837', '#129', '#837', '#129', '#837', '#655', '#837', '#655', '#655', '#837', '#858', '#858', '#837', '#858', '#616', '#837', '#837', '#837', '#616', '#837', '#837', '#356', '#837', '#356', '#837', '#902', '#902', '#837', '#837', '#837', '#837', '#837', '#837', '#622', '#837', '#837', '#837', '#837', '#3', '#368', '#837', '#368', '#837', '#368', '#837', '#837', '#860', '#837', '#860']"
#485,32,6,"['#485', '#928', '#928', '#928', '#928', '#583', '#485', '#583', '#583', '#485', '#139', '#485', '#485', '#485', '#485', '#783', '#485', '#783', '#485', '#783', '#224', '#485', '#224', '#485', '#485', '#485', '#884', '#884', '#485', '#884', '#671', '#485', '#671', '#485', '#485', '#948', '#948', '#948', '#948', '#485', '#485', '#871', '#871', '#871', '#871', '#485', '#485', '#276', '#485', '#485', '#842', '#842', '#485', '#485', '#485', '#485', '#485', '#32', '#485', '#485', '#4', '#4', '#4', '#4', '#485', '#361', '#485', '#361', '#361', '#361']"
#796,28,4,"['#8', '#8', '#8', '#8', '#796', '#796', '#796', '#796', '#300', '#300', '#796', '#796', '#893', '#796', '#796', '#796', '#796', '#796', '#331', '#331', '#796', '#254', '#796', '#254', '#254', '#796', '#631', '#796', '#796', '#631', '#796', '#293', '#293', '#293', '#293', '#604', '#604', '#604', '#796', '#604', '#796', '#796', '#820', '#820', '#820', '#796', '#138', '#138', '#796', '#138', '#626', '#796', '#626', '#626', '#796', '#796', '#796', '#276', '#276', '#276', '#159', '#159', '#159', '#796', '#796']"
#269,29,4,"['#269', '#581', '#581', '#581', '#269', '#269', '#653', '#653', '#269', '#653', '#269', '#269', '#269', '#269', '#378', '#614', '#614', '#269', '#269', '#614', '#663', '#663', '#663', '#269', '#269', '#548', '#269', '#269', '#269', '#548', '#686', '#269', '#269', '#269', '#686', '#217', '#217', '#269', '#217', '#217', '#269', '#727', '#269', '#269', '#727', '#269', '#269', '#109', '#109', '#109', '#269', '#692', '#692', '#269', '#692', '#269', '#269', '#821', '#821', '#821', '#362', '#362', '#362', '#362', '#269']"
